TAXONNAME,Size,Diet,Mobility,Activity,Schooling,Position
Parupeneus_cyclostomus,5,Crustacivores,Mobile within reef,Diurnal,Solitary,Benthic
Parupeneus_insularis,3,Crustacivores,Mobile within reef,Diurnal,SmallG,Benthic
Parupeneus_multifasciatus,4,Crustacivores,Mobile within reef,Diurnal,SmallG,Benthic
Pempheris_oualensis,3,Microinvertivores,Sedentary,Nocturnal,MedG,Bentho-Pelagic
Pervagor_janthinosoma,2,Sessile invertivores,Sedentary,Diurnal,Solitary,Benthic
Pervagor_marginalis,1,Sessile invertivores,Sedentary,Diurnal,Solitary,Benthic
Pervagor_sp,2,Sessile invertivores,Sedentary,Diurnal,Solitary,Benthic
Plagiotremus_rhinorhynchos,2,Planktivores,Sedentary,Diurnal,SmallG,Benthic
Plagiotremus_tapeinosoma,3,Crustacivores,Mobile across reefs,Nocturnal,MedG,Bentho-Pelagic
Plectroglyphidodon_dickii,3,Crustacivores,Mobile within reef,Nocturnal,Solitary,Bentho-Pelagic
Plectroglyphidodon_imparipennis,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Plectroglyphidodon_johnstonianus,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Plectroglyphidodon_phoenixensis,3,Crustacivores,Sedentary,Nocturnal,Solitary,Benthic
Pogonoperca_punctata,2,Crustacivores,Sedentary,Diurnal,Solitary,Benthic
Pomacanthus_imperator,4,Sessile invertivores,Sedentary,Diurnal,Solitary,Benthic
Pomacentridae,2,Planktivores,Sedentary,Diurnal,SmallG,Benthic
Pomacentrus_coelestis,2,Planktivores,Sedentary,Diurnal,MedG,Benthic
Priacanthus_sp,3,Crustacivores,Mobile across reefs,Nocturnal,MedG,Bentho-Pelagic
Pseudanthias_bartlettorum,2,Crustacivores,Sedentary,Diurnal,LargeG,Bentho-Pelagic
Pseudanthias_dispar,2,Crustacivores,Sedentary,Diurnal,LargeG,Bentho-Pelagic
Pseudanthias_olivaceus,2,Crustacivores,Sedentary,Diurnal,LargeG,Bentho-Pelagic
Pseudanthias_pascalus,3,Crustacivores,Sedentary,Diurnal,LargeG,Bentho-Pelagic
Pseudobalistes_flavimarginatus,5,Macroinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Pseudocheilinus_evanidus,2,Planktivores,Sedentary,Diurnal,Solitary,Benthic
Pseudocheilinus_hexataenia,2,Planktivores,Sedentary,Diurnal,SmallG,Benthic
Pseudocheilinus_octotaenia,2,Planktivores,Sedentary,Diurnal,Solitary,Benthic
Pseudocheilinus_tetrataenia,2,Planktivores,Sedentary,Diurnal,Solitary,Benthic
Pseudocoris_heteroptera,3,Microinvertivores,Sedentary,Diurnal,MedG,Bentho-Pelagic
Pseudodax_moluccanus,4,Macroinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Ptereleotris_evides,2,Planktivores,Sedentary,Diurnal,MedG,Bentho-Pelagic
Ptereleotris_zebra,2,Planktivores,Sedentary,Diurnal,MedG,Bentho-Pelagic
Pterocaesio_tile,4,Planktivores,Mobile across reefs,Diurnal,LargeG,Pelagic
Rhinecanthus_rectangulus,4,Microinvertivores,Sedentary,Diurnal,Solitary,Benthic
Sargocentron_caudimaculatum,3,Crustacivores,Mobile within reef,Nocturnal,Solitary,Bentho-Pelagic
Sargocentron_microstoma,3,Crustacivores,Mobile within reef,Nocturnal,Solitary,Bentho-Pelagic
Sargocentron_sp,3,Crustacivores,Mobile within reef,Nocturnal,Solitary,Bentho-Pelagic
Sargocentron_spiniferum,4,Crustacivores,Mobile within reef,Nocturnal,Solitary,Bentho-Pelagic
Sargocentron_tiere,4,Crustacivores,Mobile within reef,Nocturnal,Solitary,Bentho-Pelagic
Scaridae,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Scarus_altipinnis,5,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,LargeG,Benthic
Scarus_festivus,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,Solitary,Benthic
Scarus_forsteni,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,Solitary,Benthic
Scarus_frenatus,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,Solitary,Benthic
Scarus_niger,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,Solitary,Benthic
Scarus_oviceps,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,Solitary,Benthic
Scarus_psittacus,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,MedG,Benthic
Scarus_rubroviolaceus,5,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Scarus_tricolor,3,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,Solitary,Benthic
Scomberoides_lysan,6,Piscivores,Mobile across reefs,Both diurnal and nocturnal,SmallG,Pelagic
Scorpaenopsis_sp,3,Crustacivores,Sedentary,Nocturnal,Solitary,Benthic
Sebastapistes_cyanostigma,2,Crustacivores,Sedentary,Nocturnal,Solitary,Benthic
Serranidae,2,Crustacivores,Sedentary,Diurnal,Solitary,Benthic
Sphyraena_barracuda,6,Piscivores,Mobile across reefs,Nocturnal,SmallG,Pelagic
Sphyraena_qenie,6,Piscivores,Mobile across reefs,Nocturnal,MedG,Pelagic
Sphyrna_lewini,6,Piscivores,Mobile across reefs,Nocturnal,Solitary,Pelagic
Stegastes_albifasciatus,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,SmallG,Benthic
Stegastes_aureus,2,Planktivores,Sedentary,Diurnal,SmallG,Benthic
Stegastes_fasciolatus,3,Herbivores Microvores Detritivores,Sedentary,Diurnal,SmallG,Benthic
Stegastes_lividus,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,MedG,Benthic
Stegastes_nigricans,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,MedG,Benthic
Stegastes_sp,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,SmallG,Benthic
Stethojulis_bandanensis,3,Microinvertivores,Mobile within reef,Diurnal,SmallG,Benthic
Sufflamen_bursa,3,Macroinvertivores,Sedentary,Diurnal,Solitary,Benthic
Sufflamen_chrysopterum,4,Microinvertivores,Sedentary,Diurnal,Solitary,Benthic
Taeniurops_meyeni,6,Piscivores,Mobile across reefs,Nocturnal,Solitary,Benthic
Thalassoma_amblycephalum,3,Microinvertivores,Mobile within reef,Diurnal,SmallG,Bentho-Pelagic
Thalassoma_hardwicke,3,Microinvertivores,Mobile within reef,Diurnal,SmallG,Benthic
Thalassoma_lutescens,4,Macroinvertivores,Mobile within reef,Diurnal,SmallG,Benthic
Thalassoma_purpureum,4,Microinvertivores,Mobile within reef,Diurnal,SmallG,Benthic
Thalassoma_quinquevittatum,3,Microinvertivores,Mobile within reef,Diurnal,SmallG,Benthic
Thalassoma_sp,3,Microinvertivores,Mobile within reef,Diurnal,SmallG,Benthic
Thalassoma_trilobatum,4,Microinvertivores,Mobile within reef,Diurnal,SmallG,Benthic
Trachinotus_baillonii,5,Piscivores,Mobile across reefs,Both diurnal and nocturnal,SmallG,Pelagic
Trachinotus_blochii,6,Piscivores,Mobile across reefs,Both diurnal and nocturnal,SmallG,Pelagic
Triaenodon_obesus,6,Piscivores,Mobile across reefs,Nocturnal,Solitary,Bentho-Pelagic
Tylosurus_crocodilus,6,Piscivores,Mobile across reefs,Both diurnal and nocturnal,SmallG,Pelagic
Valenciennea_strigata,3,Planktivores,Sedentary,Diurnal,Pairing,Benthic
Variola_louti,6,Piscivores,Mobile within reef,Diurnal,Solitary,Benthic
Xanthichthys_auromarginatus,4,Planktivores,Mobile across reefs,Diurnal,MedG,Bentho-Pelagic
Xanthichthys_caeruleolineatus,4,Planktivores,Mobile across reefs,Diurnal,MedG,Bentho-Pelagic
Zanclus_cornutus,3,Sessile invertivores,Mobile within reef,Diurnal,SmallG,Benthic
Zebrasoma_rostratum,3,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Zebrasoma_scopas,3,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
